Date,Ticker,Open,High,Low,Close,Volume,DailyReturn_Pct
2023-02-26,AAPL,185.62,187.48,183.76,185.62,17509283,-1.66
2023-02-27,AAPL,188.51,190.4,186.62,188.51,15282675,1.56
2023-02-28,AAPL,186.29,188.15,184.43,186.29,21932722,-1.18
2023-03-01,AAPL,181.54,183.36,179.72,181.54,23806455,-2.55
2023-03-02,AAPL,182.37,184.19,180.55,182.37,22067517,0.46
2023-03-03,AAPL,179.11,180.9,177.32,179.11,17720132,-1.79
2023-03-04,AAPL,178.78,180.57,176.99,178.78,22435242,-0.19
2023-03-05,AAPL,181.75,183.57,179.93,181.75,21191688,1.66
2023-03-06,AAPL,181.14,182.95,179.33,181.14,17691624,-0.34
2023-03-07,AAPL,185.13,186.98,183.28,185.13,18938525,2.2
2023-03-08,AAPL,179.61,181.41,177.81,179.61,17117353,-2.98
2023-03-09,AAPL,177.26,179.03,175.49,177.26,18972630,-1.31
2023-03-10,AAPL,177.18,178.95,175.41,177.18,15895521,-0.05
2023-03-11,AAPL,175.64,177.4,173.88,175.64,18927617,-0.87
2023-03-12,AAPL,175.11,176.86,173.36,175.11,17665524,-0.3
2023-03-13,AAPL,183.94,185.78,182.1,183.94,18931802,5.04
2023-03-14,AAPL,181.93,183.75,180.11,181.93,16706003,-1.09
2023-03-15,AAPL,184.89,186.74,183.04,184.89,14434955,1.63
2023-03-16,AAPL,178.5,180.28,176.72,178.5,19899379,-3.46
2023-03-17,AAPL,180.34,182.14,178.54,180.34,19733362,1.03
2023-03-18,AAPL,187.84,189.72,185.96,187.84,18440709,4.16
2023-03-19,AAPL,186.89,188.76,185.02,186.89,19878664,-0.51
2023-03-20,AAPL,187.23,189.1,185.36,187.23,19629968,0.18
2023-03-21,AAPL,186.77,188.64,184.9,186.77,16081525,-0.25
2023-03-22,AAPL,189.53,191.43,187.63,189.53,22937445,1.48
2023-03-23,AAPL,187.93,189.81,186.05,187.93,19867475,-0.84
2023-03-24,AAPL,193.96,195.9,192.02,193.96,17740215,3.21
2023-03-25,AAPL,194.95,196.9,193.0,194.95,20297893,0.51
2023-03-26,AAPL,201.4,203.41,199.39,201.4,25572756,3.31
2023-03-27,AAPL,204.81,206.86,202.76,204.81,30627620,1.69
2023-03-28,AAPL,205.13,207.18,203.08,205.13,6603650,0.16
2023-03-29,AAPL,203.24,205.27,201.21,203.24,18646938,-0.92
2023-03-30,AAPL,209.74,211.84,207.64,209.74,19439923,3.2
2023-03-31,AAPL,215.51,217.67,213.35,215.51,22413336,2.75
2023-04-01,AAPL,216.99,219.16,214.82,216.99,21210023,0.69
2023-04-02,AAPL,218.44,220.62,216.26,218.44,23413077,0.67
2023-04-03,AAPL,217.57,219.75,215.39,217.57,18854349,-0.4
2023-04-04,AAPL,219.57,221.77,217.37,219.57,20585143,0.92
2023-04-05,AAPL,218.87,221.06,216.68,218.87,26556050,-0.32
2023-04-06,AAPL,222.22,224.44,220.0,222.22,18323646,1.53
2023-04-07,AAPL,225.11,227.36,222.86,225.11,17175611,1.3
2023-04-08,AAPL,220.18,222.38,217.98,220.18,22404732,-2.19
2023-04-09,AAPL,216.62,218.79,214.45,216.62,20123751,-1.62
2023-04-10,AAPL,212.33,214.45,210.21,212.33,19130451,-1.98
2023-04-11,AAPL,210.71,212.82,208.6,210.71,19716234,-0.76
2023-04-12,AAPL,220.64,222.85,218.43,220.64,23846208,4.71
2023-04-13,AAPL,220.36,222.56,218.16,220.36,19380869,-0.13
2023-04-14,AAPL,217.47,219.64,215.3,217.47,16887544,-1.31
2023-04-15,AAPL,217.04,219.21,214.87,217.04,23998343,-0.2
2023-04-16,AAPL,203.55,205.59,201.51,203.55,23064628,-6.22
2023-04-17,AAPL,208.43,210.51,206.35,208.43,13599565,2.4
2023-04-18,AAPL,208.79,210.88,206.7,208.79,18690984,0.17
2023-04-19,AAPL,208.3,210.38,206.22,208.3,20643051,-0.23
2023-04-20,AAPL,209.83,211.93,207.73,209.83,15887864,0.74
2023-04-21,AAPL,216.87,219.04,214.7,216.87,18573295,3.35
2023-04-22,AAPL,228.5,230.78,226.22,228.5,17173106,5.36
2023-04-23,AAPL,223.9,226.14,221.66,223.9,20971148,-2.02
2023-04-24,AAPL,228.15,230.43,225.87,228.15,23820951,1.9
2023-04-25,AAPL,223.87,226.11,221.63,223.87,18998983,-1.88
2023-04-26,AAPL,232.45,234.77,230.13,232.45,18893337,3.83
2023-04-27,AAPL,236.82,239.19,234.45,236.82,14317797,1.88
2023-04-28,AAPL,229.42,231.71,227.13,229.42,22898381,-3.13
2023-04-29,AAPL,228.97,231.26,226.68,228.97,22268194,-0.2
2023-04-30,AAPL,226.32,228.58,224.06,226.32,15031288,-1.16
2023-05-01,AAPL,226.97,229.24,224.7,226.97,15809319,0.29
2023-05-02,AAPL,227.77,230.05,225.49,227.77,17102939,0.35
2023-05-03,AAPL,230.97,233.28,228.66,230.97,19189706,1.4
2023-05-04,AAPL,229.81,232.11,227.51,229.81,21025191,-0.5
2023-05-05,AAPL,234.31,236.65,231.97,234.31,20547402,1.96
2023-05-06,AAPL,242.9,245.33,240.47,242.9,25223253,3.66
2023-05-07,AAPL,239.73,242.13,237.33,239.73,16648004,-1.3
2023-05-08,AAPL,234.11,236.45,231.77,234.11,25407560,-2.34
2023-05-09,AAPL,228.64,230.93,226.35,228.64,18834412,-2.34
2023-05-10,AAPL,228.92,231.21,226.63,228.92,25312784,0.12
2023-05-11,AAPL,223.15,225.38,220.92,223.15,23261121,-2.52
2023-05-12,AAPL,223.44,225.67,221.21,223.44,19616853,0.13
2023-05-13,AAPL,223.54,225.78,221.3,223.54,17888414,0.05
2023-05-14,AAPL,221.91,224.13,219.69,221.91,17827719,-0.73
2023-05-15,AAPL,216.31,218.47,214.15,216.31,16468380,-2.52
2023-05-16,AAPL,221.64,223.86,219.42,221.64,18949358,2.47
2023-05-17,AAPL,224.84,227.09,222.59,224.84,19467229,1.44
2023-05-18,AAPL,224.19,226.43,221.95,224.19,19772136,-0.29
2023-05-19,AAPL,227.69,229.97,225.41,227.69,17941593,1.56
2023-05-20,AAPL,227.22,229.49,224.95,227.22,22712579,-0.21
2023-05-21,AAPL,232.37,234.69,230.05,232.37,24455764,2.27
2023-05-22,AAPL,228.13,230.41,225.85,228.13,18080941,-1.82
2023-05-23,AAPL,227.45,229.72,225.18,227.45,16054598,-0.3
2023-05-24,AAPL,231.65,233.97,229.33,231.65,20865406,1.84
2023-05-25,AAPL,231.16,233.47,228.85,231.16,23089104,-0.21
2023-05-26,AAPL,227.9,230.18,225.62,227.9,23386090,-1.41
2023-05-27,AAPL,236.07,238.43,233.71,236.07,20923416,3.58
2023-05-28,AAPL,236.27,238.63,233.91,236.27,20505059,0.09
2023-05-29,AAPL,229.94,232.24,227.64,229.94,19410597,-2.68
2023-05-30,AAPL,239.63,242.03,237.23,239.63,26374643,4.22
2023-05-31,AAPL,240.31,242.71,237.91,240.31,18365969,0.28
2023-06-01,AAPL,245.5,247.96,243.04,245.5,19892630,2.16
2023-06-02,AAPL,250.39,252.89,247.89,250.39,17770910,1.99
2023-06-03,AAPL,252.17,254.69,249.65,252.17,18916430,0.71
2023-06-04,AAPL,252.39,254.91,249.87,252.39,18287661,0.09
2023-06-05,AAPL,251.94,254.46,249.42,251.94,20908614,-0.18
2023-06-06,AAPL,255.7,258.26,253.14,255.7,19518257,1.49
2023-06-07,AAPL,263.37,266.0,260.74,263.37,16139523,3.0
2023-06-08,AAPL,255.75,258.31,253.19,255.75,18219302,-2.89
2023-06-09,AAPL,256.06,258.62,253.5,256.06,24871308,0.12
2023-06-10,AAPL,255.36,257.91,252.81,255.36,17161569,-0.27
2023-06-11,AAPL,252.34,254.86,249.82,252.34,20242899,-1.18
2023-06-12,AAPL,247.16,249.63,244.69,247.16,25789778,-2.05
2023-06-13,AAPL,235.83,238.19,233.47,235.83,17710787,-4.58
2023-06-14,AAPL,233.42,235.75,231.09,233.42,17075210,-1.02
2023-06-15,AAPL,236.8,239.17,234.43,236.8,18030736,1.45
2023-06-16,AAPL,239.98,242.38,237.58,239.98,24738967,1.34
2023-06-17,AAPL,246.16,248.62,243.7,246.16,20479015,2.57
2023-06-18,AAPL,246.42,248.88,243.96,246.42,22651959,0.1
2023-06-19,AAPL,245.26,247.71,242.81,245.26,18537451,-0.47
2023-06-20,AAPL,240.65,243.06,238.24,240.65,20925653,-1.88
2023-06-21,AAPL,235.81,238.17,233.45,235.81,17877229,-2.01
2023-06-22,AAPL,245.97,248.43,243.51,245.97,22021669,4.31
2023-06-23,AAPL,248.2,250.68,245.72,248.2,17838445,0.91
2023-06-24,AAPL,252.28,254.8,249.76,252.28,16949770,1.64
2023-06-25,AAPL,244.84,247.29,242.39,244.84,18342182,-2.95
2023-06-26,AAPL,239.31,241.7,236.92,239.31,21395264,-2.26
2023-06-27,AAPL,241.3,243.71,238.89,241.3,20684370,0.83
2023-06-28,AAPL,244.36,246.8,241.92,244.36,21620298,1.27
2023-06-29,AAPL,241.3,243.71,238.89,241.3,21439836,-1.25
2023-06-30,AAPL,243.06,245.49,240.63,243.06,18151894,0.73
2023-07-01,AAPL,241.56,243.98,239.14,241.56,22557026,-0.62
2023-07-02,AAPL,235.45,237.8,233.1,235.45,21000443,-2.53
2023-07-03,AAPL,235.18,237.53,232.83,235.18,19915640,-0.12
2023-07-04,AAPL,234.08,236.42,231.74,234.08,21263438,-0.47
2023-07-05,AAPL,226.93,229.2,224.66,226.93,20756368,-3.05
2023-07-06,AAPL,222.4,224.62,220.18,222.4,23094857,-2.0
2023-07-07,AAPL,216.87,219.04,214.7,216.87,12812365,-2.49
2023-07-08,AAPL,209.72,211.82,207.62,209.72,19830276,-3.3
2023-07-09,AAPL,203.42,205.45,201.39,203.42,16080550,-3.01
2023-07-10,AAPL,200.78,202.79,198.77,200.78,21586680,-1.3
2023-07-11,AAPL,197.9,199.88,195.92,197.9,19370262,-1.43
2023-07-12,AAPL,197.2,199.17,195.23,197.2,15663696,-0.35
2023-07-13,AAPL,199.0,200.99,197.01,199.0,26754567,0.91
2023-07-14,AAPL,192.32,194.24,190.4,192.32,17352187,-3.36
2023-07-15,AAPL,187.62,189.5,185.74,187.62,19405514,-2.45
2023-07-16,AAPL,182.36,184.18,180.54,182.36,23758952,-2.8
2023-07-17,AAPL,187.7,189.58,185.82,187.7,22076656,2.93
2023-07-18,AAPL,191.4,193.31,189.49,191.4,20346038,1.97
2023-07-19,AAPL,195.72,197.68,193.76,195.72,19089678,2.26
2023-01-01,GOOGL,148.54,150.03,147.05,148.54,21992024,-0.97
2023-01-02,GOOGL,147.54,149.02,146.06,147.54,26414508,-0.67
2023-01-03,GOOGL,150.8,152.31,149.29,150.8,18327498,2.21
2023-01-04,GOOGL,150.44,151.94,148.94,150.44,19577856,-0.24
2023-01-05,GOOGL,148.33,149.81,146.85,148.33,22665445,-1.4
2023-01-06,GOOGL,145.89,147.35,144.43,145.89,19719745,-1.65
2023-01-07,GOOGL,143.79,145.23,142.35,143.79,18358773,-1.44
2023-01-08,GOOGL,146.14,147.6,144.68,146.14,22034318,1.64
2023-01-09,GOOGL,145.26,146.71,143.81,145.26,23411518,-0.6
2023-01-10,GOOGL,147.07,148.54,145.6,147.07,20351642,1.25
2023-01-11,GOOGL,149.89,151.39,148.39,149.89,24256804,1.92
2023-01-12,GOOGL,151.36,152.87,149.85,151.36,20819141,0.98
2023-01-13,GOOGL,145.7,147.16,144.24,145.7,20786980,-3.74
2023-01-14,GOOGL,147.2,148.67,145.73,147.2,20943275,1.03
2023-01-15,GOOGL,144.69,146.14,143.24,144.69,17939807,-1.7
2023-01-16,GOOGL,146.93,148.4,145.46,146.93,18835846,1.54
2023-01-17,GOOGL,147.6,149.08,146.12,147.6,13692450,0.46
2023-01-18,GOOGL,147.7,149.18,146.22,147.7,22418890,0.07
2023-01-19,GOOGL,148.74,150.23,147.25,148.74,19582194,0.7
2023-01-20,GOOGL,145.77,147.23,144.31,145.77,14622222,-2.0
2023-01-21,GOOGL,143.64,145.08,142.2,143.64,23120189,-1.46
2023-01-22,GOOGL,143.63,145.07,142.19,143.63,22072049,-0.01
2023-01-23,GOOGL,147.89,149.37,146.41,147.89,20372854,2.97
2023-01-24,GOOGL,150.54,152.05,149.03,150.54,23405669,1.79
2023-01-25,GOOGL,146.48,147.94,145.02,146.48,17714578,-2.7
2023-01-26,GOOGL,141.69,143.11,140.27,141.69,14541257,-3.27
2023-01-27,GOOGL,140.42,141.82,139.02,140.42,19233466,-0.9
2023-01-28,GOOGL,135.3,136.65,133.95,135.3,21363701,-3.64
2023-01-29,GOOGL,134.12,135.46,132.78,134.12,24305205,-0.87
2023-01-30,GOOGL,134.75,136.1,133.4,134.75,20529309,0.47
2023-01-31,GOOGL,134.33,135.67,132.99,134.33,19642262,-0.31
2023-02-01,GOOGL,135.46,136.81,134.11,135.46,22717487,0.84
2023-02-02,GOOGL,131.98,133.3,130.66,131.98,17488223,-2.57
2023-02-03,GOOGL,132.89,134.22,131.56,132.89,19883396,0.69
2023-02-04,GOOGL,135.13,136.48,133.78,135.13,17982547,1.68
2023-02-05,GOOGL,138.68,140.07,137.29,138.68,18448538,2.63
2023-02-06,GOOGL,137.94,139.32,136.56,137.94,23284541,-0.53
2023-02-07,GOOGL,139.65,141.05,138.25,139.65,25946359,1.24
2023-02-08,GOOGL,142.44,143.86,141.02,142.44,23869922,2.0
2023-02-09,GOOGL,141.74,143.16,140.32,141.74,23910280,-0.49
2023-02-10,GOOGL,142.08,143.5,140.66,142.08,13340464,0.24
2023-02-11,GOOGL,143.57,145.01,142.13,143.57,21680611,1.05
2023-02-12,GOOGL,140.58,141.99,139.17,140.58,21078883,-2.08
2023-02-13,GOOGL,141.05,142.46,139.64,141.05,23638684,0.33
2023-02-14,GOOGL,142.43,143.85,141.01,142.43,20001372,0.98
2023-02-15,GOOGL,138.78,140.17,137.39,138.78,14100790,-2.56
2023-02-16,GOOGL,142.43,143.85,141.01,142.43,21182365,2.63
2023-02-17,GOOGL,141.89,143.31,140.47,141.89,21663713,-0.38
2023-02-18,GOOGL,141.36,142.77,139.95,141.36,13996732,-0.37
2023-02-19,GOOGL,144.37,145.81,142.93,144.37,23422303,2.13
2023-02-20,GOOGL,143.57,145.01,142.13,143.57,19875218,-0.56
2023-02-21,GOOGL,141.95,143.37,140.53,141.95,25533750,-1.13
2023-02-22,GOOGL,145.51,146.97,144.05,145.51,17563435,2.51
2023-02-23,GOOGL,147.42,148.89,145.95,147.42,17368772,1.31
2023-02-24,GOOGL,145.17,146.62,143.72,145.17,18671372,-1.53
2023-02-25,GOOGL,143.55,144.99,142.11,143.55,15322645,-1.12
2023-02-26,GOOGL,147.5,148.97,146.03,147.5,20633683,2.75
2023-02-27,GOOGL,152.23,153.75,150.71,152.23,19501267,3.21
2023-02-28,GOOGL,147.91,149.39,146.43,147.91,23076201,-2.84
2023-03-01,GOOGL,148.83,150.32,147.34,148.83,19203601,0.62
2023-03-02,GOOGL,152.57,154.1,151.04,152.57,15970478,2.51
2023-03-03,GOOGL,155.72,157.28,154.16,155.72,22154121,2.06
2023-03-04,GOOGL,156.6,158.17,155.03,156.6,15566070,0.56
2023-03-05,GOOGL,159.69,161.29,158.09,159.69,22232531,1.98
2023-03-06,GOOGL,160.7,162.31,159.09,160.7,19836259,0.63
2023-03-07,GOOGL,157.23,158.8,155.66,157.23,16639919,-2.16
2023-03-08,GOOGL,154.95,156.5,153.4,154.95,15274057,-1.45
2023-03-09,GOOGL,150.33,151.83,148.83,150.33,18668680,-2.98
2023-03-10,GOOGL,146.47,147.93,145.01,146.47,19302660,-2.57
2023-03-11,GOOGL,146.81,148.28,145.34,146.81,15653440,0.23
2023-03-12,GOOGL,149.39,150.88,147.9,149.39,23032644,1.76
2023-03-13,GOOGL,143.01,144.44,141.58,143.01,24057554,-4.27
2023-03-14,GOOGL,144.75,146.2,143.3,144.75,20281322,1.22
2023-03-15,GOOGL,149.13,150.62,147.64,149.13,20318814,3.02
2023-03-16,GOOGL,146.95,148.42,145.48,146.95,15522345,-1.46
2023-03-17,GOOGL,146.75,148.22,145.28,146.75,19636823,-0.14
2023-03-18,GOOGL,141.9,143.32,140.48,141.9,18926652,-3.31
2023-03-19,GOOGL,146.4,147.86,144.94,146.4,21513318,3.17
2023-03-20,GOOGL,142.6,144.03,141.17,142.6,20913309,-2.6
2023-03-21,GOOGL,144.74,146.19,143.29,144.74,23090810,1.5
2023-03-22,GOOGL,146.58,148.05,145.11,146.58,23484883,1.27
2023-03-23,GOOGL,148.94,150.43,147.45,148.94,19268115,1.61
2023-03-24,GOOGL,150.07,151.57,148.57,150.07,19313298,0.76
2023-03-25,GOOGL,151.43,152.94,149.92,151.43,22205367,0.91
2023-03-26,GOOGL,151.35,152.86,149.84,151.35,20910665,-0.05
2023-03-27,GOOGL,150.04,151.54,148.54,150.04,19084036,-0.87
2023-03-28,GOOGL,149.98,151.48,148.48,149.98,18318961,-0.04
2023-03-29,GOOGL,154.11,155.65,152.57,154.11,21789577,2.75
2023-03-30,GOOGL,156.55,158.12,154.98,156.55,21679870,1.58
2023-03-31,GOOGL,157.24,158.81,155.67,157.24,16348033,0.44
2023-04-01,GOOGL,160.93,162.54,159.32,160.93,26243758,2.34
2023-04-02,GOOGL,163.22,164.85,161.59,163.22,17639290,1.42
2023-04-03,GOOGL,165.32,166.97,163.67,165.32,17600990,1.29
2023-04-04,GOOGL,163.91,165.55,162.27,163.91,12740340,-0.85
2023-04-05,GOOGL,168.56,170.25,166.87,168.56,20950705,2.84
2023-04-06,GOOGL,170.66,172.37,168.95,170.66,22368379,1.25
2023-04-07,GOOGL,172.46,174.18,170.74,172.46,22930593,1.05
2023-04-08,GOOGL,177.34,179.11,175.57,177.34,19892720,2.83
2023-04-09,GOOGL,171.63,173.35,169.91,171.63,17469337,-3.22
2023-04-10,GOOGL,173.93,175.67,172.19,173.93,16918398,1.34
2023-04-11,GOOGL,173.89,175.63,172.15,173.89,27502524,-0.03
2023-04-12,GOOGL,177.7,179.48,175.92,177.7,13965381,2.19
2023-04-13,GOOGL,186.16,188.02,184.3,186.16,24101361,4.76
2023-04-14,GOOGL,188.82,190.71,186.93,188.82,20403527,1.43
2023-04-15,GOOGL,183.8,185.64,181.96,183.8,18880578,-2.66
2023-04-16,GOOGL,176.69,178.46,174.92,176.69,22854524,-3.87
2023-04-17,GOOGL,177.52,179.3,175.74,177.52,17769642,0.47
2023-04-18,GOOGL,181.28,183.09,179.47,181.28,20997547,2.12
2023-04-19,GOOGL,187.4,189.27,185.53,187.4,18668463,3.38
2023-04-20,GOOGL,192.81,194.74,190.88,192.81,20674617,2.89
2023-04-21,GOOGL,190.02,191.92,188.12,190.02,21781373,-1.45
2023-04-22,GOOGL,190.49,192.39,188.59,190.49,21367437,0.25
2023-04-23,GOOGL,186.92,188.79,185.05,186.92,13068590,-1.87
2023-04-24,GOOGL,185.26,187.11,183.41,185.26,21715438,-0.89
2023-04-25,GOOGL,187.45,189.32,185.58,187.45,18638283,1.18
2023-04-26,GOOGL,188.51,190.4,186.62,188.51,18823482,0.57
2023-04-27,GOOGL,188.19,190.07,186.31,188.19,23786362,-0.17
2023-04-28,GOOGL,183.36,185.19,181.53,183.36,25660137,-2.57
2023-04-29,GOOGL,184.18,186.02,182.34,184.18,26056206,0.45
2023-04-30,GOOGL,191.22,193.13,189.31,191.22,13178314,3.82
2023-05-01,GOOGL,192.11,194.03,190.19,192.11,17056085,0.47
2023-05-02,GOOGL,191.78,193.7,189.86,191.78,21372225,-0.17
2023-05-03,GOOGL,197.56,199.54,195.58,197.56,16745134,3.01
2023-05-04,GOOGL,207.75,209.83,205.67,207.75,18257110,5.16
2023-05-05,GOOGL,202.38,204.4,200.36,202.38,23284906,-2.59
2023-05-06,GOOGL,203.1,205.13,201.07,203.1,26633789,0.36
2023-05-07,GOOGL,199.31,201.3,197.32,199.31,20552877,-1.87
2023-05-08,GOOGL,204.57,206.62,202.52,204.57,17463002,2.64
2023-05-09,GOOGL,210.02,212.12,207.92,210.02,21193194,2.66
2023-05-10,GOOGL,206.01,208.07,203.95,206.01,23789744,-1.91
2023-05-11,GOOGL,205.41,207.46,203.36,205.41,23565426,-0.29
2023-05-12,GOOGL,202.73,204.76,200.7,202.73,15643642,-1.31
2023-05-13,GOOGL,201.15,203.16,199.14,201.15,19633370,-0.78
2023-05-14,GOOGL,202.14,204.16,200.12,202.14,21601509,0.49
2023-05-15,GOOGL,210.26,212.36,208.16,210.26,19689705,4.02
2023-05-16,GOOGL,217.96,220.14,215.78,217.96,23074601,3.66
2023-05-17,GOOGL,217.82,220.0,215.64,217.82,20919955,-0.06
2023-05-18,GOOGL,219.76,221.96,217.56,219.76,23077075,0.89
2023-05-19,GOOGL,225.16,227.41,222.91,225.16,15799578,2.46
2023-05-20,GOOGL,229.79,232.09,227.49,229.79,21223379,2.06
2023-05-21,GOOGL,231.82,234.14,229.5,231.82,19601216,0.89
2023-05-22,GOOGL,235.31,237.66,232.96,235.31,22665220,1.51
2023-05-23,GOOGL,236.07,238.43,233.71,236.07,23065237,0.32
2023-05-24,GOOGL,233.33,235.66,231.0,233.33,20035395,-1.16
2023-05-25,GOOGL,235.25,237.6,232.9,235.25,19071611,0.82
2023-05-26,GOOGL,233.93,236.27,231.59,233.93,17210458,-0.56
2023-05-27,GOOGL,236.18,238.54,233.82,236.18,25834666,0.96
2023-05-28,GOOGL,239.26,241.65,236.87,239.26,19496739,1.3
2023-05-29,GOOGL,245.8,248.26,243.34,245.8,19897515,2.73
2023-05-30,GOOGL,249.73,252.23,247.23,249.73,21680444,1.6
2023-05-31,GOOGL,242.52,244.95,240.09,242.52,20300768,-2.89
2023-06-01,GOOGL,253.16,255.69,250.63,253.16,18374118,4.39
2023-06-02,GOOGL,261.48,264.09,258.87,261.48,23037620,3.29
2023-06-03,GOOGL,259.39,261.98,256.8,259.39,20316203,-0.8
2023-06-04,GOOGL,254.68,257.23,252.13,254.68,22851245,-1.82
2023-06-05,GOOGL,250.12,252.62,247.62,250.12,21508844,-1.79
2023-06-06,GOOGL,260.02,262.62,257.42,260.02,18359578,3.96
2023-06-07,GOOGL,262.6,265.23,259.97,262.6,15814501,0.99
2023-06-08,GOOGL,263.61,266.25,260.97,263.61,17261173,0.38
2023-06-09,GOOGL,265.69,268.35,263.03,265.69,18693362,0.79
2023-06-10,GOOGL,261.22,263.83,258.61,261.22,19887581,-1.68
2023-06-11,GOOGL,248.15,250.63,245.67,248.15,17135669,-5.0
2023-06-12,GOOGL,260.66,263.27,258.05,260.66,19610916,5.04
2023-06-13,GOOGL,258.96,261.55,256.37,258.96,21417777,-0.65
2023-06-14,GOOGL,265.22,267.87,262.57,265.22,25250197,2.42
2023-06-15,GOOGL,265.76,268.42,263.1,265.76,19731117,0.2
2023-06-16,GOOGL,268.69,271.38,266.0,268.69,20529107,1.1
2023-06-17,GOOGL,268.7,271.39,266.01,268.7,22160834,0.0
2023-06-18,GOOGL,272.76,275.49,270.03,272.76,20532158,1.51
2023-06-19,GOOGL,286.83,289.7,283.96,286.83,26072579,5.16
2023-06-20,GOOGL,290.98,293.89,288.07,290.98,23828051,1.45
2023-06-21,GOOGL,288.03,290.91,285.15,288.03,20443358,-1.01
2023-06-22,GOOGL,293.21,296.14,290.28,293.21,24538280,1.8
2023-06-23,GOOGL,288.13,291.01,285.25,288.13,18380895,-1.73
2023-06-24,GOOGL,289.55,292.45,286.65,289.55,24930368,0.49
2023-06-25,GOOGL,290.97,293.88,288.06,290.97,23811954,0.49
2023-06-26,GOOGL,291.02,293.93,288.11,291.02,22545218,0.02
