Invoice_ID,Branch,City,Customer_Type,Gender,Product_Line,Unit_Price,Quantity,Tax,Total,Date,Time,Payment,Rating
INV000062,C,Naypyitaw,Member,Male,Health and beauty,29.9,6,8.97,188.37,03-01-2023,00:57,Ewallet,9.8
INV000063,A,Yangon,Normal,Female,Food and beverages,98.37,5,24.5925,516.4425,03-01-2023,20:50,Cash,4.5
INV000064,A,Yangon,Member,Male,Health and beauty,65.85,6,19.755,414.855,03-01-2023,21:22,Credit card,4.3
INV000065,A,Yangon,Normal,Female,Fashion accessories,50.55,5,12.6375,265.3875,03-01-2023,17:11,Ewallet,7.9
INV000066,C,Naypyitaw,Member,Female,Sports and travel,42.07,4,8.414,176.694,03-01-2023,08:21,Ewallet,5.7
INV000067,C,Naypyitaw,Normal,Female,Food and beverages,21.85,3,3.2775,68.8275,04-01-2023,21:16,Credit card,6.5
INV000068,C,Naypyitaw,Normal,Female,Fashion accessories,87.08,5,21.77,457.17,04-01-2023,19:02,Cash,8.7
INV000069,C,Naypyitaw,Normal,Male,Food and beverages,76.71,9,34.5195,724.9095,04-01-2023,13:46,Credit card,9.0
INV000070,C,Naypyitaw,Member,Male,Food and beverages,15.02,6,4.506,94.626,04-01-2023,07:55,Credit card,10.0
INV000071,B,Mandalay,Normal,Male,Food and beverages,94.08,10,47.04,987.84,04-01-2023,01:22,Ewallet,6.7
INV000072,A,Yangon,Normal,Male,Sports and travel,30.35,1,1.5175,31.8675,04-01-2023,08:07,Cash,6.1
INV000073,A,Yangon,Normal,Female,Fashion accessories,78.74,2,7.874,165.354,04-01-2023,04:27,Credit card,9.8
INV000074,A,Yangon,Normal,Male,Food and beverages,65.21,2,6.521,136.941,04-01-2023,01:14,Ewallet,4.8
INV000075,A,Yangon,Member,Female,Electronic accessories,44.91,3,6.7365,141.4665,04-01-2023,07:26,Credit card,7.3
INV000076,C,Naypyitaw,Normal,Female,Electronic accessories,86.75,5,21.6875,455.4375,04-01-2023,13:16,Ewallet,9.6
INV000077,C,Naypyitaw,Member,Female,Food and beverages,97.22,5,24.305,510.405,04-01-2023,03:24,Ewallet,7.5
INV000078,C,Naypyitaw,Normal,Male,Home and lifestyle,22.36,8,8.944,187.824,04-01-2023,14:59,Ewallet,6.1
INV000079,B,Mandalay,Member,Male,Electronic accessories,63.57,3,9.5355,200.2455,04-01-2023,23:46,Credit card,6.1
INV000080,C,Naypyitaw,Member,Female,Health and beauty,57.56,10,28.78,604.38,04-01-2023,17:49,Cash,7.0
INV000081,B,Mandalay,Member,Male,Health and beauty,71.21,8,28.484,598.164,04-01-2023,05:49,Ewallet,6.3
INV000082,A,Yangon,Normal,Female,Health and beauty,63.16,4,12.632,265.272,04-01-2023,11:58,Cash,9.5
INV000083,A,Yangon,Normal,Female,Electronic accessories,76.52,8,30.608,642.768,04-01-2023,14:42,Credit card,9.4
INV000084,C,Naypyitaw,Normal,Male,Electronic accessories,49.82,3,7.473,156.933,04-01-2023,17:18,Ewallet,8.4
INV000085,A,Yangon,Normal,Male,Fashion accessories,39.15,9,17.6175,369.9675,04-01-2023,02:24,Ewallet,6.8
INV000086,C,Naypyitaw,Normal,Female,Sports and travel,57.8,2,5.78,121.38,04-01-2023,10:22,Credit card,6.6
INV000087,A,Yangon,Member,Female,Sports and travel,67.49,2,6.749,141.729,04-01-2023,05:14,Credit card,7.6
INV000088,A,Yangon,Member,Female,Fashion accessories,31.89,4,6.378,133.938,04-01-2023,22:53,Ewallet,5.7
INV000089,A,Yangon,Normal,Male,Home and lifestyle,56.68,8,22.672,476.112,05-01-2023,03:48,Credit card,4.7
INV000090,C,Naypyitaw,Normal,Female,Fashion accessories,96.78,8,38.712,812.952,05-01-2023,15:46,Credit card,8.3
INV000091,C,Naypyitaw,Member,Male,Sports and travel,28.25,10,14.125,296.625,05-01-2023,19:01,Credit card,5.2
INV000092,B,Mandalay,Normal,Male,Electronic accessories,78.33,6,23.499,493.479,05-01-2023,02:18,Credit card,5.9
INV000093,C,Naypyitaw,Member,Female,Electronic accessories,58.83,10,29.415,617.715,05-01-2023,02:51,Ewallet,8.1
INV000094,A,Yangon,Member,Male,Health and beauty,20.39,8,8.156,171.276,05-01-2023,18:38,Credit card,9.0
INV000095,B,Mandalay,Member,Female,Home and lifestyle,93.51,3,14.0265,294.5565,05-01-2023,08:32,Credit card,7.4
INV000096,B,Mandalay,Member,Male,Food and beverages,27.94,3,4.191,88.011,05-01-2023,12:04,Ewallet,5.4
INV000097,C,Naypyitaw,Normal,Male,Food and beverages,62.36,2,6.236,130.956,05-01-2023,04:55,Cash,8.3
INV000098,B,Mandalay,Normal,Male,Health and beauty,30.67,1,1.5335,32.2035,05-01-2023,16:46,Cash,7.3
INV000099,B,Mandalay,Normal,Male,Fashion accessories,93.65,7,32.7775,688.3275,05-01-2023,20:02,Ewallet,4.8
INV000100,B,Mandalay,Normal,Female,Fashion accessories,89.56,4,17.912,376.152,05-01-2023,02:36,Ewallet,5.9
INV000101,A,Yangon,Normal,Female,Sports and travel,60.72,10,30.36,637.56,05-01-2023,08:36,Credit card,6.1
INV000102,B,Mandalay,Member,Female,Food and beverages,21.35,8,8.54,179.34,05-01-2023,00:14,Credit card,4.9
INV000103,A,Yangon,Normal,Female,Home and lifestyle,67.06,3,10.059,211.239,05-01-2023,21:55,Credit card,7.6
INV000104,B,Mandalay,Normal,Female,Fashion accessories,30.23,7,10.5805,222.1905,05-01-2023,13:34,Ewallet,7.7
INV000105,B,Mandalay,Member,Female,Health and beauty,32.79,8,13.116,275.436,05-01-2023,13:47,Cash,4.6
INV000106,B,Mandalay,Normal,Male,Electronic accessories,78.64,10,39.32,825.72,05-01-2023,16:53,Ewallet,4.6
INV000107,B,Mandalay,Normal,Male,Fashion accessories,31.0,10,15.5,325.5,05-01-2023,06:59,Ewallet,9.5
INV000108,B,Mandalay,Normal,Female,Food and beverages,43.76,5,10.94,229.74,05-01-2023,19:20,Ewallet,8.7
INV000109,C,Naypyitaw,Member,Female,Health and beauty,86.85,6,26.055,547.155,05-01-2023,06:25,Cash,6.9
INV000110,B,Mandalay,Normal,Male,Sports and travel,91.23,6,27.369,574.749,05-01-2023,11:03,Cash,5.0
INV000111,A,Yangon,Member,Male,Home and lifestyle,66.27,2,6.627,139.167,06-01-2023,17:52,Ewallet,9.8
INV000112,A,Yangon,Member,Female,Food and beverages,26.42,7,9.247,194.187,06-01-2023,19:24,Cash,6.6
INV000113,B,Mandalay,Member,Female,Food and beverages,65.62,8,26.248,551.208,06-01-2023,17:22,Ewallet,8.7
INV000114,C,Naypyitaw,Normal,Female,Health and beauty,45.67,6,13.701,287.721,06-01-2023,15:46,Ewallet,5.1
INV000115,B,Mandalay,Normal,Female,Electronic accessories,34.1,2,3.41,71.61,06-01-2023,23:23,Credit card,9.9
INV000116,B,Mandalay,Normal,Female,Health and beauty,59.1,3,8.865,186.165,06-01-2023,07:22,Cash,7.6
INV000117,A,Yangon,Normal,Male,Health and beauty,59.55,8,23.82,500.22,06-01-2023,01:35,Credit card,7.6
INV000118,B,Mandalay,Normal,Female,Food and beverages,22.56,7,7.896,165.816,06-01-2023,15:43,Ewallet,7.8
INV000119,B,Mandalay,Normal,Female,Food and beverages,88.0,2,8.8,184.8,06-01-2023,08:33,Credit card,7.7
INV000120,A,Yangon,Normal,Male,Sports and travel,83.93,5,20.9825,440.6325,06-01-2023,15:33,Credit card,6.2
INV000121,B,Mandalay,Member,Female,Fashion accessories,79.4,1,3.97,83.37,06-01-2023,11:53,Cash,9.9
INV000122,C,Naypyitaw,Member,Female,Home and lifestyle,55.61,9,25.0245,525.5145,06-01-2023,09:11,Cash,6.4
INV000123,A,Yangon,Normal,Female,Sports and travel,21.77,2,2.177,45.717,06-01-2023,13:24,Ewallet,9.5
INV000124,A,Yangon,Normal,Female,Electronic accessories,59.32,9,26.694,560.574,06-01-2023,16:37,Credit card,5.2
INV000125,A,Yangon,Member,Male,Fashion accessories,75.16,2,7.516,157.836,06-01-2023,04:27,Cash,7.0
INV000126,C,Naypyitaw,Normal,Male,Sports and travel,78.61,2,7.861,165.081,06-01-2023,16:59,Credit card,5.1
INV000127,A,Yangon,Normal,Male,Food and beverages,84.5,4,16.9,354.9,06-01-2023,18:56,Credit card,7.7
INV000128,B,Mandalay,Member,Female,Fashion accessories,22.02,8,8.808,184.968,06-01-2023,21:52,Ewallet,7.2
INV000129,A,Yangon,Normal,Male,Fashion accessories,95.02,2,9.502,199.542,06-01-2023,03:20,Credit card,4.6
INV000130,A,Yangon,Normal,Male,Food and beverages,71.27,10,35.635,748.335,06-01-2023,00:24,Ewallet,8.9
INV000131,B,Mandalay,Normal,Female,Fashion accessories,62.53,3,9.3795,196.9695,06-01-2023,17:47,Credit card,9.8
INV000132,B,Mandalay,Normal,Male,Sports and travel,58.23,8,23.292,489.132,06-01-2023,05:38,Credit card,8.8
INV000133,C,Naypyitaw,Normal,Female,Health and beauty,90.4,10,45.2,949.2,07-01-2023,08:08,Credit card,4.2
INV000134,B,Mandalay,Normal,Male,Electronic accessories,60.55,10,30.275,635.775,07-01-2023,06:30,Ewallet,8.2
INV000135,A,Yangon,Normal,Female,Home and lifestyle,94.04,2,9.404,197.484,07-01-2023,20:46,Credit card,9.1
INV000136,A,Yangon,Normal,Male,Fashion accessories,63.07,3,9.4605,198.6705,07-01-2023,10:19,Ewallet,4.5
INV000137,B,Mandalay,Member,Male,Sports and travel,60.95,8,24.38,511.98,07-01-2023,08:16,Cash,8.0
INV000138,B,Mandalay,Normal,Male,Electronic accessories,88.02,2,8.802,184.842,07-01-2023,05:10,Cash,9.9
INV000139,A,Yangon,Member,Female,Home and lifestyle,16.23,4,3.246,68.166,07-01-2023,00:28,Credit card,6.4
INV000140,C,Naypyitaw,Normal,Female,Sports and travel,97.58,10,48.79,1024.59,07-01-2023,15:25,Cash,6.5
INV000141,B,Mandalay,Member,Male,Food and beverages,41.56,2,4.156,87.276,07-01-2023,05:23,Credit card,7.5
INV000142,A,Yangon,Normal,Male,Health and beauty,19.74,9,8.883,186.543,07-01-2023,22:47,Ewallet,9.7
INV000143,B,Mandalay,Member,Female,Fashion accessories,97.43,8,38.972,818.412,07-01-2023,00:10,Credit card,9.9
INV000144,B,Mandalay,Member,Female,Sports and travel,84.57,6,25.371,532.791,07-01-2023,14:44,Credit card,4.7
INV000145,A,Yangon,Member,Male,Health and beauty,95.2,8,38.08,799.68,07-01-2023,00:53,Credit card,9.3
INV000146,B,Mandalay,Normal,Male,Home and lifestyle,45.27,2,4.527,95.067,07-01-2023,14:09,Cash,4.9
INV000147,B,Mandalay,Member,Female,Food and beverages,57.79,9,26.0055,546.1155,07-01-2023,09:39,Cash,4.5
INV000148,B,Mandalay,Member,Female,Food and beverages,89.1,9,40.095,841.995,07-01-2023,12:17,Credit card,8.9
INV000149,C,Naypyitaw,Normal,Male,Electronic accessories,46.35,6,13.905,292.005,07-01-2023,05:27,Cash,4.3
INV000150,C,Naypyitaw,Normal,Female,Food and beverages,89.61,1,4.4805,94.0905,07-01-2023,18:57,Cash,6.9
INV000151,C,Naypyitaw,Normal,Female,Electronic accessories,58.4,1,2.92,61.32,07-01-2023,21:25,Cash,9.2
INV000152,A,Yangon,Member,Female,Health and beauty,39.73,9,17.8785,375.4485,07-01-2023,19:53,Ewallet,8.2
INV000153,A,Yangon,Normal,Male,Electronic accessories,51.43,7,18.0005,378.0105,07-01-2023,07:05,Ewallet,6.0
INV000154,B,Mandalay,Member,Female,Electronic accessories,84.06,7,29.421,617.841,07-01-2023,20:47,Ewallet,6.0
INV000155,C,Naypyitaw,Member,Female,Sports and travel,10.81,3,1.6215,34.0515,08-01-2023,16:47,Ewallet,8.6
INV000156,C,Naypyitaw,Normal,Male,Sports and travel,66.3,5,16.575,348.075,08-01-2023,16:28,Credit card,5.0
INV000157,B,Mandalay,Normal,Female,Health and beauty,78.62,1,3.931,82.551,08-01-2023,14:45,Ewallet,7.7
INV000158,A,Yangon,Normal,Female,Food and beverages,49.69,3,7.4535,156.5235,08-01-2023,15:47,Credit card,4.1
INV000159,A,Yangon,Member,Male,Home and lifestyle,32.47,7,11.3645,238.6545,08-01-2023,12:17,Credit card,6.6
INV000160,C,Naypyitaw,Member,Male,Food and beverages,71.74,4,14.348,301.308,08-01-2023,19:13,Credit card,5.4
INV000161,A,Yangon,Normal,Female,Sports and travel,12.79,5,3.1975,67.1475,08-01-2023,05:02,Cash,7.8
INV000162,C,Naypyitaw,Member,Male,Home and lifestyle,46.43,6,13.929,292.509,08-01-2023,19:45,Ewallet,4.2
INV000163,C,Naypyitaw,Member,Male,Sports and travel,52.12,8,20.848,437.808,08-01-2023,18:03,Ewallet,9.2
INV000164,B,Mandalay,Normal,Female,Electronic accessories,77.73,3,11.6595,244.8495,08-01-2023,05:48,Ewallet,4.2
INV000165,B,Mandalay,Normal,Female,Health and beauty,10.11,7,3.5385,74.3085,08-01-2023,21:36,Cash,5.5
INV000166,C,Naypyitaw,Member,Female,Fashion accessories,61.8,5,15.45,324.45,08-01-2023,06:25,Credit card,5.9
INV000167,C,Naypyitaw,Member,Female,Fashion accessories,44.93,6,13.479,283.059,08-01-2023,00:10,Cash,9.2
INV000168,B,Mandalay,Member,Female,Home and lifestyle,19.34,1,0.967,20.307,08-01-2023,09:47,Credit card,4.9
INV000169,C,Naypyitaw,Normal,Female,Health and beauty,59.81,2,5.981,125.601,08-01-2023,00:01,Cash,9.3
INV000170,A,Yangon,Normal,Female,Fashion accessories,38.67,6,11.601,243.621,08-01-2023,14:30,Ewallet,8.2
INV000171,B,Mandalay,Member,Female,Health and beauty,94.69,3,14.2035,298.2735,08-01-2023,10:34,Ewallet,9.6
INV000172,A,Yangon,Normal,Female,Sports and travel,87.52,2,8.752,183.792,08-01-2023,22:21,Credit card,7.7
INV000173,C,Naypyitaw,Normal,Female,Sports and travel,63.18,6,18.954,398.034,08-01-2023,06:49,Cash,4.2
INV000174,A,Yangon,Member,Female,Fashion accessories,62.8,9,28.26,593.46,08-01-2023,22:04,Cash,6.0
INV000175,C,Naypyitaw,Normal,Male,Food and beverages,68.62,3,10.293,216.153,08-01-2023,15:13,Cash,6.0
INV000176,C,Naypyitaw,Member,Female,Electronic accessories,45.89,6,13.767,289.107,08-01-2023,20:30,Ewallet,6.8
INV000177,B,Mandalay,Normal,Male,Sports and travel,65.96,4,13.192,277.032,09-01-2023,15:55,Ewallet,9.2
INV000178,C,Naypyitaw,Member,Male,Electronic accessories,53.31,2,5.331,111.951,09-01-2023,05:34,Credit card,6.5
INV000179,A,Yangon,Normal,Female,Food and beverages,28.75,2,2.875,60.375,09-01-2023,00:20,Credit card,4.8
INV000180,B,Mandalay,Normal,Male,Electronic accessories,31.14,2,3.114,65.394,09-01-2023,06:14,Cash,4.4
INV000181,C,Naypyitaw,Member,Male,Fashion accessories,55.82,9,25.119,527.499,09-01-2023,18:27,Cash,5.0
INV000182,C,Naypyitaw,Normal,Female,Home and lifestyle,68.45,1,3.4225,71.8725,09-01-2023,07:39,Ewallet,9.8
INV000183,C,Naypyitaw,Member,Male,Fashion accessories,25.11,10,12.555,263.655,09-01-2023,14:03,Credit card,6.6
INV000184,A,Yangon,Normal,Male,Health and beauty,24.87,4,4.974,104.454,09-01-2023,21:47,Ewallet,8.4
INV000185,C,Naypyitaw,Member,Male,Sports and travel,49.73,6,14.919,313.299,09-01-2023,10:19,Cash,4.2
INV000186,B,Mandalay,Member,Male,Sports and travel,14.6,1,0.73,15.33,09-01-2023,01:58,Ewallet,5.1
INV000187,A,Yangon,Member,Male,Fashion accessories,71.25,4,14.25,299.25,09-01-2023,11:32,Cash,8.1
INV000188,A,Yangon,Member,Male,Health and beauty,61.63,8,24.652,517.692,09-01-2023,08:14,Cash,6.1
INV000189,C,Naypyitaw,Member,Female,Food and beverages,22.78,2,2.278,47.838,09-01-2023,12:25,Credit card,5.0
INV000190,A,Yangon,Normal,Male,Fashion accessories,87.26,6,26.178,549.738,09-01-2023,19:58,Cash,9.0
INV000191,B,Mandalay,Normal,Female,Electronic accessories,64.99,8,25.996,545.916,09-01-2023,05:02,Cash,4.2
INV000192,B,Mandalay,Normal,Male,Health and beauty,29.2,5,7.3,153.3,09-01-2023,22:07,Cash,4.6
INV000193,C,Naypyitaw,Normal,Female,Health and beauty,87.11,9,39.1995,823.1895,09-01-2023,11:27,Credit card,4.5
INV000194,A,Yangon,Member,Female,Food and beverages,78.1,4,15.62,328.02,09-01-2023,00:18,Credit card,8.6
INV000195,B,Mandalay,Member,Male,Health and beauty,20.7,6,6.21,130.41,09-01-2023,07:34,Ewallet,5.9
INV000196,C,Naypyitaw,Member,Male,Home and lifestyle,44.58,9,20.061,421.281,09-01-2023,05:04,Cash,6.7
INV000197,A,Yangon,Normal,Female,Fashion accessories,67.19,2,6.719,141.099,09-01-2023,15:41,Cash,7.3
INV000198,B,Mandalay,Normal,Female,Food and beverages,82.43,9,37.0935,778.9635,09-01-2023,00:11,Ewallet,7.2
INV000199,A,Yangon,Member,Male,Fashion accessories,76.47,5,19.1175,401.4675,10-01-2023,06:46,Cash,9.4
INV000200,A,Yangon,Normal,Female,Home and lifestyle,43.83,4,8.766,184.086,10-01-2023,13:08,Cash,5.2
INV000201,A,Yangon,Normal,Male,Sports and travel,69.64,3,10.446,219.366,10-01-2023,19:27,Ewallet,8.3
INV000202,C,Naypyitaw,Normal,Female,Health and beauty,56.5,7,19.775,415.275,10-01-2023,22:54,Credit card,8.8
INV000203,A,Yangon,Member,Male,Electronic accessories,26.49,8,10.596,222.516,10-01-2023,00:35,Cash,4.5
INV000204,B,Mandalay,Member,Male,Electronic accessories,20.0,7,7.0,147.0,10-01-2023,19:01,Cash,7.6
INV000205,B,Mandalay,Normal,Female,Electronic accessories,42.11,10,21.055,442.155,10-01-2023,09:43,Credit card,7.3
INV000206,A,Yangon,Member,Female,Home and lifestyle,85.75,7,30.0125,630.2625,10-01-2023,20:25,Credit card,8.6
INV000207,A,Yangon,Member,Male,Health and beauty,75.58,2,7.558,158.718,10-01-2023,11:12,Ewallet,4.6
INV000208,A,Yangon,Normal,Female,Home and lifestyle,30.64,9,13.788,289.548,10-01-2023,21:17,Ewallet,5.6
INV000209,C,Naypyitaw,Normal,Female,Fashion accessories,49.68,9,22.356,469.476,10-01-2023,07:38,Credit card,4.8
INV000210,A,Yangon,Normal,Female,Food and beverages,17.07,8,6.828,143.388,10-01-2023,05:52,Cash,6.4
INV000211,C,Naypyitaw,Member,Male,Sports and travel,49.37,2,4.937,103.677,10-01-2023,15:55,Credit card,5.4
INV000212,C,Naypyitaw,Normal,Female,Home and lifestyle,57.43,10,28.715,603.015,10-01-2023,21:22,Ewallet,4.3
INV000213,C,Naypyitaw,Member,Male,Electronic accessories,49.73,4,9.946,208.866,10-01-2023,21:27,Cash,4.5
INV000214,B,Mandalay,Normal,Male,Health and beauty,25.17,10,12.585,264.285,10-01-2023,07:25,Cash,8.9
INV000215,A,Yangon,Member,Female,Sports and travel,52.26,7,18.291,384.111,10-01-2023,05:47,Credit card,4.1
INV000216,B,Mandalay,Normal,Male,Health and beauty,69.77,4,13.954,293.034,10-01-2023,06:45,Ewallet,8.5
INV000217,A,Yangon,Normal,Female,Sports and travel,73.08,4,14.616,306.936,10-01-2023,08:00,Ewallet,6.1
INV000218,C,Naypyitaw,Member,Male,Health and beauty,55.37,3,8.3055,174.4155,10-01-2023,20:03,Ewallet,9.7
INV000219,B,Mandalay,Member,Female,Home and lifestyle,61.14,5,15.285,320.985,10-01-2023,04:03,Ewallet,9.6
INV000220,A,Yangon,Normal,Male,Fashion accessories,88.14,6,26.442,555.282,10-01-2023,18:10,Credit card,5.8
INV000221,A,Yangon,Member,Female,Home and lifestyle,71.85,2,7.185,150.885,11-01-2023,20:29,Credit card,7.8
INV000222,B,Mandalay,Member,Female,Health and beauty,92.13,1,4.6065,96.7365,11-01-2023,18:53,Credit card,9.0
INV000223,A,Yangon,Normal,Female,Health and beauty,69.3,2,6.93,145.53,11-01-2023,23:35,Cash,7.0
