Date,State,NewCases,Recoveries,Deaths,HospitalBedsOccupied,ICUBedsOccupied,AgeGroup_HighestImpact,VaccinationDosesAdministered,PositivityRate_Pct
2021-01-26,Delhi,384,364,5,153,38,65+,74000,7.68
2021-01-26,Tamil Nadu,548,520,8,219,54,46-65,74500,10.96
2021-01-27,Tamil Nadu,508,482,7,203,50,18-45,75000,10.16
2021-01-27,Karnataka,99,94,1,39,9,18-45,75500,1.98
2021-01-27,Maharashtra,584,554,8,233,58,0-17,76000,11.68
2021-01-27,Kerala,651,618,9,260,65,65+,76500,13.02
2021-01-27,Karnataka,454,431,6,181,45,65+,77000,9.08
2021-01-28,Kerala,575,546,8,230,57,0-17,77500,11.5
2021-01-28,Delhi,360,342,5,144,36,46-65,78000,7.2
2021-01-28,Karnataka,376,357,5,150,37,65+,78500,7.52
2021-01-28,Kerala,595,565,8,238,59,0-17,79000,11.9
2021-01-28,Delhi,575,546,8,230,57,65+,79500,11.5
2021-01-29,Delhi,584,554,8,233,58,46-65,80000,11.68
2021-01-29,Kerala,569,540,8,227,56,65+,80500,11.38
2021-01-29,Delhi,667,633,10,266,66,65+,81000,13.34
2021-01-29,Kerala,576,547,8,230,57,18-45,81500,11.52
2021-01-29,Maharashtra,661,627,9,264,66,46-65,82000,13.22
2021-01-30,Karnataka,317,301,4,126,31,18-45,82500,6.34
2021-01-30,Kerala,321,304,4,128,32,65+,83000,6.42
2021-01-30,Maharashtra,512,486,7,204,51,65+,83500,10.24
2021-01-30,Maharashtra,632,600,9,252,63,65+,84000,12.64
2021-01-30,Tamil Nadu,332,315,4,132,33,18-45,84500,6.64
2021-01-31,Maharashtra,268,254,4,107,26,46-65,85000,5.36
2021-01-31,Kerala,548,520,8,219,54,65+,85500,10.96
2021-01-31,Karnataka,424,402,6,169,42,0-17,86000,8.48
2021-01-31,Karnataka,648,615,9,259,64,0-17,86500,12.96
2021-01-31,Tamil Nadu,566,537,8,226,56,46-65,87000,11.32
2021-02-01,Karnataka,334,317,5,133,33,46-65,87500,6.68
2021-02-01,Kerala,561,532,8,224,56,0-17,88000,11.22
2021-02-01,Delhi,670,636,10,268,67,65+,88500,13.4
2021-02-01,Delhi,313,297,4,125,31,18-45,89000,6.26
2021-02-01,Delhi,473,449,7,189,47,65+,89500,9.46
2021-02-02,Maharashtra,543,515,8,217,54,46-65,90000,10.86
2021-02-02,Tamil Nadu,370,351,5,148,37,46-65,90500,7.4
2021-02-02,Karnataka,391,371,5,156,39,0-17,91000,7.82
2021-02-02,Kerala,677,643,10,270,67,0-17,91500,13.54
2021-02-02,Maharashtra,591,561,8,236,59,46-65,92000,11.82
2021-02-03,Karnataka,438,416,6,175,43,0-17,92500,8.76
2021-02-03,Kerala,608,577,9,243,60,46-65,93000,12.16
2021-02-03,Delhi,219,208,3,87,21,0-17,93500,4.38
2021-02-03,Karnataka,671,637,10,268,67,0-17,94000,13.42
2021-02-03,Kerala,367,348,5,146,36,0-17,94500,7.34
2021-02-04,Tamil Nadu,568,539,8,227,56,0-17,95000,11.36
2021-02-04,Delhi,443,420,6,177,44,0-17,95500,8.86
2021-02-04,Tamil Nadu,400,380,6,160,40,0-17,96000,8.0
2021-02-04,Karnataka,453,430,6,181,45,18-45,96500,9.06
2021-02-04,Delhi,614,583,9,245,61,46-65,97000,12.28
2021-02-05,Maharashtra,294,279,4,117,29,65+,97500,5.88
2021-02-05,Tamil Nadu,903,857,13,361,90,46-65,98000,18.06
2021-02-05,Maharashtra,592,562,8,236,59,65+,98500,11.84
2021-02-05,Kerala,510,484,7,204,51,0-17,99000,10.2
2021-02-05,Karnataka,288,273,4,115,28,18-45,99500,5.76
2021-02-06,Tamil Nadu,448,425,6,179,44,46-65,100000,8.96
2021-02-06,Karnataka,686,651,10,274,68,18-45,100500,13.72
2021-02-06,Delhi,475,451,7,190,47,65+,101000,9.5
2021-02-06,Tamil Nadu,550,522,8,220,55,18-45,101500,11.0
2021-02-06,Kerala,402,381,6,160,40,46-65,102000,8.04
2021-02-07,Delhi,526,499,7,210,52,65+,102500,10.52
2021-02-07,Karnataka,458,435,6,183,45,65+,103000,9.16
2021-02-07,Maharashtra,453,430,6,181,45,18-45,103500,9.06
2021-02-07,Tamil Nadu,490,465,7,196,49,46-65,104000,9.8
2021-02-07,Tamil Nadu,628,596,9,251,62,46-65,104500,12.56
2021-02-08,Karnataka,714,678,10,285,71,18-45,105000,14.28
2021-02-08,Tamil Nadu,225,213,3,90,22,0-17,105500,4.5
2021-02-08,Delhi,297,282,4,118,29,0-17,106000,5.94
2021-02-08,Tamil Nadu,585,555,8,234,58,0-17,106500,11.7
2021-02-08,Kerala,439,417,6,175,43,0-17,107000,8.78
2021-02-09,Karnataka,494,469,7,197,49,46-65,107500,9.88
2021-02-09,Tamil Nadu,475,451,7,190,47,18-45,108000,9.5
2021-02-09,Kerala,529,502,7,211,52,18-45,108500,10.58
2021-02-09,Maharashtra,497,472,7,198,49,46-65,109000,9.94
2021-02-09,Delhi,410,389,6,164,41,18-45,109500,8.2
2021-02-10,Kerala,506,480,7,202,50,18-45,110000,10.12
2021-02-10,Kerala,402,381,6,160,40,18-45,110500,8.04
2021-02-10,Karnataka,544,516,8,217,54,18-45,111000,10.88
2021-02-10,Delhi,599,569,8,239,59,0-17,111500,11.98
2021-02-10,Maharashtra,352,334,5,140,35,46-65,112000,7.04
2021-02-11,Tamil Nadu,614,583,9,245,61,18-45,112500,12.28
2021-02-11,Tamil Nadu,535,508,8,214,53,0-17,113000,10.7
2021-02-11,Maharashtra,305,289,4,122,30,65+,113500,6.1
2021-02-11,Delhi,781,741,11,312,78,46-65,114000,15.62
2021-02-11,Karnataka,429,407,6,171,42,0-17,114500,8.58
2021-02-12,Karnataka,470,446,7,188,47,65+,115000,9.4
2021-02-12,Delhi,607,576,9,242,60,65+,115500,12.14
2021-02-12,Kerala,568,539,8,227,56,46-65,116000,11.36
2021-02-12,Delhi,560,532,8,224,56,65+,116500,11.2
2021-02-12,Tamil Nadu,580,551,8,232,58,0-17,117000,11.6
2021-02-13,Tamil Nadu,490,465,7,196,49,46-65,117500,9.8
2021-02-13,Tamil Nadu,697,662,10,278,69,65+,118000,13.94
2021-02-13,Delhi,427,405,6,170,42,65+,118500,8.54
2021-02-13,Delhi,524,497,7,209,52,46-65,119000,10.48
2021-02-13,Maharashtra,571,542,8,228,57,46-65,119500,11.42
2021-02-14,Tamil Nadu,156,148,2,62,15,65+,120000,3.12
2021-02-14,Kerala,501,475,7,200,50,18-45,120500,10.02
2021-02-14,Delhi,329,312,4,131,32,0-17,121000,6.58
2021-02-14,Kerala,497,472,7,198,49,65+,121500,9.94
2021-02-14,Karnataka,580,551,8,232,58,46-65,122000,11.6
2021-02-15,Karnataka,363,344,5,145,36,65+,122500,7.26
2021-02-15,Delhi,585,555,8,234,58,46-65,123000,11.7
2021-02-15,Maharashtra,432,410,6,172,43,18-45,123500,8.64
2021-02-15,Karnataka,301,285,4,120,30,0-17,124000,6.02
2021-02-15,Karnataka,355,337,5,142,35,46-65,124500,7.1
2021-02-16,Tamil Nadu,577,548,8,230,57,18-45,125000,11.54
2021-02-16,Karnataka,613,582,9,245,61,65+,125500,12.26
2021-02-16,Karnataka,455,432,6,182,45,46-65,126000,9.1
2021-02-16,Kerala,414,393,6,165,41,0-17,126500,8.28
2021-02-16,Tamil Nadu,627,595,9,250,62,65+,127000,12.54
2021-02-17,Maharashtra,427,405,6,170,42,65+,127500,8.54
2021-02-17,Maharashtra,416,395,6,166,41,0-17,128000,8.32
2021-02-17,Karnataka,316,300,4,126,31,18-45,128500,6.32
2021-02-17,Delhi,541,513,8,216,54,46-65,129000,10.82
2021-02-17,Maharashtra,337,320,5,134,33,18-45,129500,6.74
2021-02-18,Maharashtra,560,532,8,224,56,18-45,130000,11.2
2021-02-18,Delhi,537,510,8,214,53,65+,130500,10.74
2021-02-18,Tamil Nadu,803,762,12,321,80,46-65,131000,16.06
2021-02-18,Delhi,607,576,9,242,60,46-65,131500,12.14
2021-02-18,Tamil Nadu,463,439,6,185,46,0-17,132000,9.26
2021-02-19,Delhi,869,825,13,347,86,18-45,132500,17.38
2021-02-19,Tamil Nadu,414,393,6,165,41,65+,133000,8.28
2021-02-19,Tamil Nadu,665,631,9,266,66,46-65,133500,13.3
2021-02-19,Tamil Nadu,238,226,3,95,23,0-17,134000,4.76
2021-02-19,Kerala,221,209,3,88,22,0-17,134500,4.42
2021-02-20,Maharashtra,522,495,7,208,52,18-45,135000,10.44
2021-02-20,Tamil Nadu,383,363,5,153,38,0-17,135500,7.66
2021-02-20,Maharashtra,281,266,4,112,28,18-45,136000,5.62
2021-02-20,Tamil Nadu,576,547,8,230,57,0-17,136500,11.52
2021-02-20,Karnataka,525,498,7,210,52,46-65,137000,10.5
2021-02-21,Kerala,619,588,9,247,61,65+,137500,12.38
2021-02-21,Kerala,621,589,9,248,62,18-45,138000,12.42
2021-02-21,Delhi,456,433,6,182,45,65+,138500,9.12
2021-02-21,Delhi,682,647,10,272,68,46-65,139000,13.64
2021-02-21,Tamil Nadu,471,447,7,188,47,0-17,139500,9.42
2021-02-22,Karnataka,326,309,4,130,32,46-65,140000,6.52
2021-02-22,Tamil Nadu,630,598,9,252,63,46-65,140500,12.6
2021-02-22,Tamil Nadu,714,678,10,285,71,0-17,141000,14.28
2021-02-22,Delhi,409,388,6,163,40,65+,141500,8.18
2021-02-22,Maharashtra,460,437,6,184,46,46-65,142000,9.2
2021-02-23,Kerala,602,571,9,240,60,65+,142500,12.04
2021-02-23,Delhi,798,758,11,319,79,65+,143000,15.96
2021-02-23,Karnataka,424,402,6,169,42,0-17,143500,8.48
2021-02-23,Delhi,720,684,10,288,72,0-17,144000,14.4
2021-02-23,Delhi,533,506,7,213,53,46-65,144500,10.66
2021-02-24,Maharashtra,374,355,5,149,37,18-45,145000,7.48
2021-02-24,Kerala,431,409,6,172,43,65+,145500,8.62
2021-02-24,Tamil Nadu,530,503,7,212,53,18-45,146000,10.6
2021-02-24,Delhi,591,561,8,236,59,0-17,146500,11.82
2021-02-24,Tamil Nadu,412,391,6,164,41,0-17,147000,8.24
2021-02-25,Maharashtra,726,689,10,290,72,46-65,147500,14.52
2021-02-25,Karnataka,567,538,8,226,56,18-45,148000,11.34
2021-02-25,Maharashtra,441,418,6,176,44,46-65,148500,8.82
2021-02-25,Tamil Nadu,373,354,5,149,37,46-65,149000,7.46
2021-02-25,Karnataka,473,449,7,189,47,18-45,149500,9.46
2021-02-26,Maharashtra,618,587,9,247,61,0-17,150000,12.36
2021-02-26,Tamil Nadu,201,190,3,80,20,46-65,150500,4.02
2021-02-26,Maharashtra,503,477,7,201,50,18-45,151000,10.06
2021-02-26,Delhi,402,381,6,160,40,65+,151500,8.04
2021-02-26,Tamil Nadu,498,473,7,199,49,65+,152000,9.96
2021-02-27,Maharashtra,116,110,1,46,11,0-17,152500,2.32
2021-02-27,Maharashtra,389,369,5,155,38,0-17,153000,7.78
2021-02-27,Karnataka,572,543,8,228,57,65+,153500,11.44
2021-02-27,Maharashtra,645,612,9,258,64,65+,154000,12.9
2021-02-27,Tamil Nadu,600,570,9,240,60,65+,154500,12.0
2021-02-28,Delhi,651,618,9,260,65,46-65,155000,13.02
2021-02-28,Delhi,550,522,8,220,55,0-17,155500,11.0
2021-02-28,Tamil Nadu,577,548,8,230,57,46-65,156000,11.54
2021-02-28,Delhi,573,544,8,229,57,46-65,156500,11.46
2021-02-28,Kerala,491,466,7,196,49,0-17,157000,9.82
2021-03-01,Delhi,706,670,10,282,70,46-65,157500,14.12
2021-03-01,Delhi,628,596,9,251,62,18-45,158000,12.56
2021-03-01,Kerala,674,640,10,269,67,65+,158500,13.48
2021-03-01,Tamil Nadu,450,427,6,180,45,65+,159000,9.0
2021-03-01,Maharashtra,397,377,5,158,39,0-17,159500,7.94
2021-03-02,Delhi,597,567,8,238,59,65+,160000,11.94
2021-03-02,Delhi,431,409,6,172,43,0-17,160500,8.62
2021-03-02,Tamil Nadu,322,305,4,128,32,65+,161000,6.44
2021-03-02,Delhi,303,287,4,121,30,0-17,161500,6.06
2021-03-02,Kerala,545,517,8,218,54,46-65,162000,10.9
2021-03-03,Delhi,560,532,8,224,56,0-17,162500,11.2
2021-03-03,Maharashtra,749,711,11,299,74,65+,163000,14.98
2021-03-03,Kerala,382,362,5,152,38,0-17,163500,7.64
2021-03-03,Delhi,221,209,3,88,22,18-45,164000,4.42
2021-03-03,Delhi,246,233,3,98,24,65+,164500,4.92
2021-03-04,Karnataka,437,415,6,174,43,18-45,165000,8.74
2021-03-04,Maharashtra,449,426,6,179,44,65+,165500,8.98
2021-03-04,Tamil Nadu,308,292,4,123,30,46-65,166000,6.16
2021-03-04,Tamil Nadu,788,748,11,315,78,18-45,166500,15.76
2021-03-04,Tamil Nadu,687,652,10,274,68,46-65,167000,13.74
2021-03-05,Maharashtra,741,703,11,296,74,0-17,167500,14.82
2021-03-05,Kerala,599,569,8,239,59,0-17,168000,11.98
2021-03-05,Delhi,376,357,5,150,37,18-45,168500,7.52
2021-03-05,Delhi,634,602,9,253,63,18-45,169000,12.68
2021-03-05,Karnataka,409,388,6,163,40,65+,169500,8.18
2021-03-06,Tamil Nadu,545,517,8,218,54,18-45,170000,10.9
2021-03-06,Kerala,626,594,9,250,62,18-45,170500,12.52
2021-03-06,Karnataka,702,666,10,280,70,18-45,171000,14.04
2021-03-06,Karnataka,348,330,5,139,34,65+,171500,6.96
2021-03-06,Delhi,678,644,10,271,67,65+,172000,13.56
2021-03-07,Delhi,278,264,4,111,27,0-17,172500,5.56
2021-03-07,Karnataka,446,423,6,178,44,18-45,173000,8.92
2021-03-07,Karnataka,576,547,8,230,57,46-65,173500,11.52
2021-03-07,Maharashtra,50,40,1,6,1,0-17,174000,1.0
2021-03-07,Maharashtra,518,492,7,207,51,46-65,174500,10.36
2021-03-08,Karnataka,478,454,7,191,47,18-45,175000,9.56
2021-03-08,Kerala,455,432,6,182,45,0-17,175500,9.1
2021-03-08,Kerala,458,435,6,183,45,0-17,176000,9.16
2021-03-08,Delhi,540,513,8,216,54,0-17,176500,10.8
2021-03-08,Tamil Nadu,523,496,7,209,52,65+,177000,10.46
2021-03-09,Tamil Nadu,239,227,3,95,23,65+,177500,4.78
2021-03-09,Delhi,465,441,6,186,46,18-45,178000,9.3
2021-03-09,Karnataka,340,323,5,136,34,65+,178500,6.8
2021-03-09,Karnataka,599,569,8,239,59,18-45,179000,11.98
2021-03-09,Maharashtra,579,550,8,231,57,65+,179500,11.58
2021-03-10,Maharashtra,649,616,9,259,64,18-45,180000,12.98
2021-03-10,Delhi,469,445,7,187,46,46-65,180500,9.38
2021-03-10,Karnataka,665,631,9,266,66,46-65,181000,13.3
2021-03-10,Tamil Nadu,670,636,10,268,67,65+,181500,13.4
2021-03-10,Karnataka,247,234,3,98,24,0-17,182000,4.94
2021-03-11,Karnataka,681,646,10,272,68,65+,182500,13.62
2021-03-11,Delhi,303,287,4,121,30,65+,183000,6.06
2021-03-11,Karnataka,626,594,9,250,62,46-65,183500,12.52
2021-03-11,Delhi,648,615,9,259,64,0-17,184000,12.96
2021-03-11,Karnataka,520,494,7,208,52,46-65,184500,10.4
2021-03-12,Kerala,305,289,4,122,30,65+,185000,6.1
2021-03-12,Delhi,259,246,3,103,25,46-65,185500,5.18
2021-03-12,Delhi,454,431,6,181,45,18-45,186000,9.08
2021-03-12,Karnataka,360,342,5,144,36,0-17,186500,7.2
2021-03-12,Delhi,680,646,10,272,68,46-65,187000,13.6
2021-03-13,Kerala,522,495,7,208,52,65+,187500,10.44
2021-03-13,Delhi,522,495,7,208,52,0-17,188000,10.44
2021-03-13,Kerala,208,197,3,83,20,46-65,188500,4.16
2021-03-13,Delhi,434,412,6,173,43,0-17,189000,8.68
2021-03-13,Tamil Nadu,208,197,3,83,20,46-65,189500,4.16
2021-03-14,Kerala,498,473,7,199,49,46-65,190000,9.96
2021-03-14,Delhi,597,567,8,238,59,46-65,190500,11.94
2021-03-14,Kerala,547,519,8,218,54,0-17,191000,10.94
2021-03-14,Maharashtra,339,322,5,135,33,0-17,191500,6.78
2021-03-14,Delhi,295,280,4,118,29,65+,192000,5.9
2021-03-15,Tamil Nadu,639,607,9,255,63,18-45,192500,12.78
2021-03-15,Karnataka,616,585,9,246,61,0-17,193000,12.32
2021-03-15,Tamil Nadu,628,596,9,251,62,0-17,193500,12.56
2021-03-15,Karnataka,824,782,12,329,82,0-17,194000,16.48
2021-03-15,Delhi,413,392,6,165,41,65+,194500,8.26
2021-03-16,Karnataka,643,610,9,257,64,18-45,195000,12.86
2021-03-16,Maharashtra,422,400,6,168,42,46-65,195500,8.44
2021-03-16,Karnataka,470,446,7,188,47,18-45,196000,9.4
2021-03-16,Maharashtra,762,723,11,304,76,46-65,196500,15.24
2021-03-16,Tamil Nadu,563,534,8,225,56,65+,197000,11.26
2021-03-17,Maharashtra,301,285,4,120,30,0-17,197500,6.02
2021-03-17,Delhi,449,426,6,179,44,46-65,198000,8.98
2021-03-17,Kerala,314,298,4,125,31,46-65,198500,6.28
2021-03-17,Maharashtra,482,457,7,192,48,46-65,199000,9.64
2021-03-17,Tamil Nadu,347,329,5,138,34,65+,199500,6.94
2021-03-18,Tamil Nadu,468,444,7,187,46,46-65,200000,9.36
2021-03-18,Kerala,208,197,3,83,20,65+,200500,4.16
2021-03-18,Tamil Nadu,513,487,7,205,51,46-65,201000,10.26
2021-03-18,Maharashtra,577,548,8,230,57,18-45,201500,11.54
2021-03-18,Karnataka,486,461,7,194,48,18-45,202000,9.72
2021-03-19,Maharashtra,403,382,6,161,40,0-17,202500,8.06
2021-03-19,Maharashtra,388,368,5,155,38,0-17,203000,7.76
2021-03-19,Delhi,538,511,8,215,53,46-65,203500,10.76
2021-03-19,Tamil Nadu,634,602,9,253,63,46-65,204000,12.68
2021-03-19,Tamil Nadu,550,522,8,220,55,0-17,204500,11.0
2021-03-20,Karnataka,376,357,5,150,37,0-17,205000,7.52
2021-03-20,Maharashtra,292,277,4,116,29,65+,205500,5.84
2021-03-20,Tamil Nadu,546,518,8,218,54,0-17,206000,10.92
2021-03-20,Maharashtra,599,569,8,239,59,0-17,206500,11.98
2021-03-20,Maharashtra,50,40,1,0,0,18-45,207000,1.0
2021-03-21,Tamil Nadu,562,533,8,224,56,65+,207500,11.24
2021-03-21,Maharashtra,527,500,7,210,52,18-45,208000,10.54
2021-03-21,Karnataka,450,427,6,180,45,18-45,208500,9.0
2021-03-21,Delhi,434,412,6,173,43,0-17,209000,8.68
2021-03-21,Maharashtra,659,626,9,263,65,0-17,209500,13.18
2021-03-22,Karnataka,638,606,9,255,63,18-45,210000,12.76
2021-03-22,Karnataka,381,361,5,152,38,65+,210500,7.62
2021-03-22,Delhi,685,650,10,274,68,46-65,211000,13.7
2021-03-22,Delhi,731,694,10,292,73,0-17,211500,14.62
