StudentID,Gender,ParentEducation,AttendancePercentage,StudyHoursPerWeek,MathScore,ScienceScore,EnglishScore,HistoryScore,OverallAverage,PassStatus
STU-2117,Female,High School,76.0,26.9,69,69,72,69,69.9,Pass
STU-2118,Male,Bachelor,77.1,9.0,54,49,63,54,54.5,Pass
STU-2119,Female,Associate,63.0,20.0,72,65,78,64,72.8,Pass
STU-2120,Male,Master,78.2,10.8,35,29,30,27,35.3,Fail
STU-2121,Male,Associate,66.8,11.8,54,60,59,46,54.9,Pass
STU-2122,Male,High School,76.6,14.3,68,60,78,67,68.1,Pass
STU-2123,Female,Associate,99.8,14.6,72,75,79,72,72.4,Pass
STU-2124,Male,Doctorate,98.4,15.3,71,77,78,75,71.3,Pass
STU-2125,Female,Associate,94.4,24.9,70,62,74,64,70.1,Pass
STU-2126,Female,High School,85.2,19.4,70,74,68,73,70.1,Pass
STU-2127,Female,Master,78.6,18.6,65,66,61,63,65.0,Pass
STU-2128,Female,Associate,71.1,22.7,75,66,82,72,75.8,Pass
STU-2129,Male,Bachelor,72.4,7.1,33,37,41,29,33.7,Fail
STU-2130,Female,High School,82.2,10.8,64,64,65,58,64.0,Pass
STU-2131,Female,Bachelor,72.2,15.9,66,65,68,72,66.8,Pass
STU-2132,Female,High School,91.5,18.5,67,68,63,68,67.6,Pass
STU-2133,Female,High School,52.3,7.4,31,34,35,32,31.2,Fail
STU-2134,Female,Bachelor,100.0,28.7,82,92,85,77,82.0,Pass
STU-2135,Male,Associate,87.4,20.5,71,71,78,72,71.5,Pass
STU-2136,Female,Master,81.5,15.4,67,75,70,66,67.4,Pass
STU-2137,Male,Doctorate,81.8,13.9,54,53,55,54,54.9,Pass
STU-2138,Male,Bachelor,65.2,18.3,65,61,65,61,65.1,Pass
STU-2139,Female,Bachelor,76.3,13.0,53,56,58,50,53.8,Pass
STU-2140,Male,High School,72.1,19.3,45,39,49,45,45.9,Fail
STU-2141,Male,Bachelor,100.0,20.9,71,76,68,68,71.7,Pass
STU-2142,Female,High School,67.2,21.3,64,57,73,54,64.8,Pass
STU-2143,Female,Associate,72.7,10.3,57,50,55,61,57.9,Pass
STU-2144,Female,High School,73.4,22.9,67,62,76,65,67.2,Pass
STU-2145,Male,Associate,62.1,20.9,65,60,66,60,65.5,Pass
STU-2146,Male,Bachelor,97.6,18.4,74,71,70,78,74.3,Pass
STU-2147,Female,Master,81.7,25.3,80,80,78,77,80.6,Pass
STU-2148,Female,Bachelor,81.3,16.4,88,91,88,89,88.7,Pass
STU-2149,Male,Associate,86.2,23.4,72,69,75,73,72.2,Pass
STU-2150,Female,Associate,94.3,7.3,66,73,67,65,66.4,Pass
STU-2151,Female,Master,90.1,17.0,65,66,63,60,65.2,Pass
STU-2152,Female,Associate,89.8,7.8,55,70,61,50,55.1,Pass
STU-2153,Female,High School,88.1,14.5,77,82,75,72,77.1,Pass
STU-2154,Female,Master,100.0,2.0,61,54,63,73,61.2,Pass
STU-2155,Female,Bachelor,89.5,13.0,70,75,71,73,70.3,Pass
STU-2156,Female,Associate,74.7,8.7,60,63,65,53,60.8,Pass
STU-2157,Male,Master,80.7,26.4,78,85,82,78,78.2,Pass
STU-2158,Male,Doctorate,76.9,6.3,47,44,51,42,47.0,Fail
STU-2159,Male,Doctorate,74.7,22.5,81,78,79,90,81.6,Pass
STU-2160,Female,Doctorate,82.5,23.7,69,69,77,69,69.7,Pass
STU-2161,Female,Bachelor,83.7,9.1,64,60,72,68,64.9,Pass
STU-2162,Female,Master,56.0,23.5,69,70,64,61,69.0,Fail
STU-2163,Female,Doctorate,71.4,21.4,56,52,62,56,56.6,Pass
STU-2164,Male,Associate,83.2,21.3,65,71,65,62,65.0,Pass
STU-2165,Female,Master,82.8,6.2,49,49,63,43,49.2,Fail
STU-2166,Female,Bachelor,76.3,24.0,74,68,81,74,74.8,Pass
STU-2167,Female,Master,83.4,27.7,72,80,79,71,72.0,Pass
STU-2168,Female,Master,83.6,9.3,56,55,58,51,56.3,Pass
STU-2169,Male,Master,100.0,25.2,85,83,89,78,85.8,Pass
STU-2170,Female,Doctorate,95.2,12.8,66,63,70,71,66.7,Pass
STU-2171,Female,High School,69.0,9.0,53,53,53,43,53.1,Pass
STU-2172,Male,Bachelor,68.6,12.6,40,34,39,39,40.2,Fail
STU-2173,Male,Master,87.7,8.1,61,68,61,62,61.3,Pass
STU-2174,Male,Bachelor,100.0,11.7,72,79,70,66,72.4,Pass
STU-2175,Male,Master,92.3,20.1,75,76,78,79,75.2,Pass
STU-2176,Male,Doctorate,96.4,8.8,78,85,78,80,78.2,Pass
STU-2177,Female,Doctorate,79.9,10.8,69,64,69,68,69.9,Pass
STU-2178,Female,Doctorate,83.6,20.2,71,68,69,73,71.7,Pass
STU-2179,Male,Associate,92.9,23.6,86,85,87,84,86.2,Pass
STU-2180,Male,Associate,88.1,25.4,72,70,69,64,72.9,Pass
STU-2181,Female,Master,79.2,9.8,49,51,54,48,49.5,Fail
STU-2182,Female,High School,86.5,14.9,76,78,78,77,76.1,Pass
STU-2183,Male,High School,86.5,19.7,74,83,75,79,74.2,Pass
STU-2184,Male,Bachelor,73.6,19.2,81,81,87,83,81.6,Pass
STU-2185,Male,Bachelor,86.3,29.7,90,86,96,86,90.7,Pass
STU-2186,Male,Bachelor,86.5,19.0,75,70,80,72,75.4,Pass
STU-2187,Male,Master,76.5,15.6,67,61,65,63,67.5,Pass
STU-2188,Female,Associate,88.2,10.4,66,64,70,70,66.3,Pass
STU-2189,Male,Associate,80.6,19.9,72,65,67,76,72.6,Pass
STU-2190,Male,High School,85.5,30.5,80,85,79,78,80.6,Pass
STU-2191,Female,Master,82.1,20.5,83,88,87,84,83.3,Pass
STU-2192,Female,High School,100.0,11.2,62,65,68,59,62.7,Pass
STU-2193,Female,High School,88.9,24.5,80,70,84,82,80.9,Pass
STU-2194,Male,Bachelor,100.0,20.1,81,85,80,83,81.7,Pass
STU-2195,Female,Master,71.0,21.4,65,64,63,67,65.9,Pass
STU-2196,Male,High School,83.1,22.5,51,49,51,51,51.8,Pass
STU-2197,Male,Doctorate,65.1,30.1,75,74,74,70,75.7,Pass
STU-2198,Male,Master,88.1,22.5,85,82,84,75,85.2,Pass
STU-2199,Female,High School,99.2,22.4,90,97,95,90,90.9,Pass
STU-2200,Female,Doctorate,85.2,14.4,59,62,62,63,59.0,Pass
STU-2201,Male,Master,74.5,16.7,70,74,75,71,70.2,Pass
STU-2202,Male,Bachelor,90.6,26.1,89,88,88,87,89.2,Pass
STU-2203,Male,Doctorate,86.5,7.2,50,46,54,46,50.4,Pass
STU-2204,Female,Master,100.0,14.6,69,64,73,71,69.0,Pass
STU-2205,Male,Associate,88.6,10.1,62,65,67,66,62.7,Pass
STU-2206,Male,Bachelor,100.0,25.3,88,93,88,81,88.9,Pass
STU-2207,Female,Bachelor,82.2,10.9,60,60,66,57,60.7,Pass
STU-2208,Female,Associate,100.0,23.4,86,77,91,86,86.5,Pass
STU-2209,Male,Doctorate,75.7,22.6,59,57,65,60,59.1,Pass
STU-2210,Male,Associate,99.6,23.6,80,68,77,82,80.2,Pass
STU-2211,Female,Doctorate,70.4,14.3,51,45,53,49,51.8,Pass
STU-2212,Female,Associate,74.0,15.9,49,46,49,46,49.7,Fail
STU-2213,Male,Doctorate,100.0,22.6,81,83,82,85,81.2,Pass
STU-2214,Female,Associate,78.4,12.5,53,57,55,58,53.8,Pass
STU-2215,Female,Associate,72.5,12.8,52,49,55,44,52.2,Pass
STU-2216,Male,Bachelor,92.0,19.3,84,82,84,84,84.5,Pass
STU-2217,Female,Doctorate,86.2,14.4,75,88,75,72,75.6,Pass
STU-2218,Female,Bachelor,99.9,14.3,78,73,79,79,78.9,Pass
STU-2219,Female,Bachelor,71.1,17.3,63,52,63,59,63.5,Pass
STU-2220,Female,Master,65.7,27.1,82,81,89,87,82.1,Pass
STU-2221,Male,Bachelor,88.3,24.9,78,75,81,82,78.1,Pass
STU-2222,Male,Doctorate,73.7,16.7,54,51,60,57,54.3,Pass
STU-2223,Female,Bachelor,70.5,17.1,55,50,56,39,55.0,Pass
STU-2224,Female,Doctorate,65.5,21.6,54,53,56,54,54.1,Pass
STU-2225,Male,Associate,99.3,21.5,93,82,97,83,93.0,Pass
STU-2226,Female,High School,98.6,20.9,100,110,97,100,100.0,Pass
STU-2227,Female,High School,72.5,20.7,69,67,75,65,69.8,Pass
STU-2228,Female,Master,93.1,12.5,57,59,63,52,57.8,Pass
STU-2229,Male,High School,75.4,13.8,72,77,78,79,72.6,Pass
STU-2230,Female,Master,70.8,6.0,46,60,39,54,46.8,Fail
STU-2231,Female,Bachelor,59.5,3.7,42,42,47,50,42.0,Fail
STU-2232,Female,Doctorate,82.3,17.9,72,70,70,75,72.9,Pass
STU-2233,Male,Doctorate,74.5,11.7,64,61,69,67,64.0,Pass
STU-2234,Female,Master,82.1,8.8,67,63,75,65,67.2,Pass
STU-2235,Female,High School,91.2,13.2,63,70,71,55,63.3,Pass
STU-2236,Male,Bachelor,94.3,22.9,85,91,86,89,85.5,Pass
STU-2237,Male,High School,88.9,32.0,77,69,77,70,77.0,Pass
STU-2238,Female,Associate,85.7,17.8,80,73,78,85,80.4,Pass
STU-2239,Male,Associate,68.5,18.1,59,60,64,56,59.4,Pass
STU-2240,Female,Associate,89.4,22.5,93,92,86,79,93.6,Pass
STU-2241,Male,High School,94.8,13.9,65,74,57,68,65.4,Pass
STU-2242,Male,High School,84.5,26.5,80,91,81,75,80.1,Pass
STU-2243,Female,Doctorate,66.0,29.2,84,81,82,84,84.8,Pass
STU-2244,Female,Bachelor,74.4,12.0,44,48,47,46,44.0,Fail
STU-2245,Female,Master,76.9,6.9,62,62,69,59,62.4,Pass
STU-2246,Male,Associate,100.0,24.9,95,95,98,96,95.5,Pass
STU-2247,Female,High School,86.4,10.6,68,80,64,71,68.4,Pass
STU-2248,Male,High School,91.0,9.0,51,40,52,45,51.3,Pass
STU-2249,Female,Associate,79.6,18.5,78,72,82,72,78.0,Pass
STU-2250,Female,Master,90.2,23.6,84,77,87,71,84.1,Pass
STU-2251,Female,Master,85.9,26.8,80,81,82,87,80.7,Pass
STU-2252,Female,Associate,83.8,24.8,70,69,73,70,70.2,Pass
STU-2253,Male,Master,73.0,10.3,59,54,66,65,59.0,Pass
STU-2254,Male,Master,71.7,18.7,70,77,72,70,70.1,Pass
STU-2255,Female,Associate,82.3,19.0,69,64,71,66,69.0,Pass
STU-2256,Female,Doctorate,54.2,18.1,58,55,63,51,58.5,Fail
STU-2257,Male,Master,57.8,23.2,53,57,52,49,53.1,Fail
STU-2258,Female,Master,90.5,23.8,78,78,77,83,78.5,Pass
STU-2259,Female,High School,72.0,20.1,63,63,65,58,63.4,Pass
STU-2260,Male,High School,64.2,5.4,44,42,51,38,44.3,Fail
STU-2261,Female,Associate,68.7,6.7,53,54,56,50,53.8,Pass
STU-2262,Female,Associate,47.1,9.3,48,58,52,50,48.6,Fail
STU-2263,Female,Bachelor,43.7,16.4,44,54,51,42,44.0,Fail
STU-2264,Female,Associate,84.2,7.3,50,49,48,56,50.6,Pass
STU-2265,Female,High School,86.7,8.9,56,58,46,52,56.4,Pass
STU-2266,Male,High School,71.6,20.1,92,96,93,91,92.6,Pass
STU-2267,Female,Doctorate,94.2,24.1,82,77,82,82,82.7,Pass
STU-2268,Male,Associate,64.8,22.9,79,79,82,73,79.1,Pass
STU-2269,Male,Associate,87.4,22.7,70,75,71,73,70.6,Pass
STU-2270,Male,Master,83.8,14.1,66,65,63,65,66.7,Pass
STU-2271,Male,Doctorate,89.3,17.2,63,61,67,59,63.3,Pass
STU-2272,Male,Doctorate,83.3,24.6,69,62,66,64,69.5,Pass
STU-2273,Male,Doctorate,92.0,19.4,67,64,69,66,67.1,Pass
STU-2274,Male,Doctorate,79.3,16.7,83,87,80,84,83.6,Pass
STU-2275,Female,Master,100.0,16.4,89,85,93,94,89.4,Pass
STU-2276,Female,Master,90.1,23.9,86,91,85,90,86.8,Pass
STU-2277,Male,Doctorate,60.1,27.7,67,63,73,69,67.5,Pass
STU-2278,Female,Master,95.0,7.7,57,53,57,63,57.8,Pass
STU-2279,Male,Master,89.0,23.3,73,77,80,68,73.7,Pass
STU-2280,Male,Master,83.5,13.3,61,60,60,58,61.0,Pass
STU-2281,Male,Doctorate,66.2,22.0,70,68,70,67,70.4,Pass
STU-2282,Male,Associate,91.4,19.0,76,68,75,77,76.7,Pass
STU-2283,Male,High School,100.0,17.3,67,68,73,68,67.1,Pass
STU-2284,Male,High School,81.1,20.2,87,83,86,89,87.0,Pass
STU-2285,Female,Master,73.4,29.0,80,77,80,74,80.6,Pass
STU-2286,Female,High School,67.5,22.2,46,41,54,43,46.7,Fail
STU-2287,Female,High School,90.6,20.6,74,65,80,70,74.0,Pass
STU-2288,Female,Master,73.2,31.7,95,97,98,97,95.5,Pass
STU-2289,Male,Bachelor,88.8,12.4,66,71,75,60,66.3,Pass
STU-2290,Male,Doctorate,75.5,3.5,45,44,49,47,45.0,Fail
STU-2291,Male,Master,89.4,16.5,64,69,60,66,64.4,Pass
STU-2292,Male,Associate,90.3,18.3,78,79,83,79,78.7,Pass
STU-2293,Female,Associate,100.0,26.1,91,93,89,82,91.3,Pass
STU-2294,Female,Master,80.0,20.2,77,72,83,76,77.8,Pass
STU-2295,Male,Associate,87.0,21.2,67,61,69,63,67.6,Pass
STU-2296,Male,Bachelor,87.2,21.6,96,99,101,101,96.7,Pass
STU-2297,Male,Associate,88.4,17.8,73,77,80,82,73.7,Pass
STU-2298,Male,High School,62.9,12.8,65,56,71,60,65.6,Pass
STU-2299,Male,Doctorate,73.0,18.3,71,70,75,69,71.7,Pass
STU-2300,Male,High School,58.5,12.5,62,63,59,51,62.7,Fail
STU-2301,Male,High School,75.2,19.1,69,77,69,61,69.0,Pass
STU-2302,Male,Master,79.9,26.5,81,77,82,88,81.4,Pass
STU-2303,Male,Bachelor,96.0,17.1,79,77,88,80,79.4,Pass
STU-2304,Female,Master,98.2,21.8,87,93,85,95,87.8,Pass
STU-2305,Male,Doctorate,100.0,16.6,72,75,74,74,72.0,Pass
STU-2306,Male,Doctorate,88.2,11.9,57,60,63,56,57.6,Pass
STU-2307,Male,Associate,76.4,16.9,50,49,52,50,50.7,Pass
STU-2308,Male,Master,80.6,23.9,79,81,76,82,79.5,Pass
STU-2309,Male,Master,100.0,8.2,64,61,78,61,64.7,Pass
STU-2310,Male,Associate,89.1,14.4,70,69,76,71,70.6,Pass
STU-2311,Female,Doctorate,87.8,20.8,68,70,70,72,68.8,Pass
STU-2312,Female,Doctorate,65.4,5.4,58,60,64,63,58.0,Pass
STU-2313,Male,High School,86.0,24.5,73,72,74,62,73.6,Pass
STU-2314,Male,High School,89.1,19.6,72,78,71,64,72.1,Pass
STU-2315,Female,High School,69.6,19.2,69,59,72,64,69.6,Pass
STU-2316,Male,Associate,99.7,9.3,63,59,64,66,63.3,Pass
STU-2317,Female,Doctorate,75.8,24.9,76,77,80,81,76.0,Pass
STU-2318,Female,High School,68.6,15.2,73,71,67,64,73.2,Pass
STU-2319,Female,Bachelor,54.4,18.5,61,62,57,54,61.0,Fail
STU-2320,Female,Master,70.8,24.5,70,67,77,75,70.1,Pass
STU-2321,Male,Doctorate,87.9,19.7,63,62,72,59,63.5,Pass
STU-2322,Male,Associate,90.1,24.7,86,89,89,86,86.6,Pass
STU-2323,Male,High School,80.8,20.2,62,63,71,57,62.1,Pass
STU-2324,Male,Bachelor,59.9,28.6,75,78,80,72,75.4,Fail
STU-2325,Male,Doctorate,73.9,12.5,53,55,60,46,53.0,Pass
STU-2326,Male,Doctorate,73.3,13.4,72,81,82,68,72.0,Pass
STU-2327,Male,Master,68.5,14.8,54,60,51,50,54.8,Pass
STU-2328,Male,Doctorate,100.0,19.4,73,76,76,66,73.3,Pass
STU-2329,Male,Associate,72.5,16.6,52,49,50,49,52.0,Pass
STU-2330,Female,High School,67.6,14.1,55,55,56,59,55.8,Pass
STU-2331,Female,High School,81.8,18.8,73,70,78,76,73.9,Pass
STU-2332,Female,Master,76.0,16.9,62,55,67,64,62.5,Pass
STU-2333,Female,High School,93.3,11.1,64,70,68,72,64.8,Pass
STU-2334,Male,Bachelor,81.8,18.6,68,61,66,68,68.2,Pass
STU-2335,Male,Bachelor,78.3,16.0,76,77,79,72,76.9,Pass
STU-2336,Female,Bachelor,69.1,22.8,68,63,75,65,68.7,Pass
STU-2337,Male,Doctorate,64.8,20.4,64,61,69,73,64.2,Pass
STU-2338,Male,High School,83.7,26.2,69,65,75,68,69.1,Pass
STU-2339,Male,Doctorate,100.0,18.6,73,64,74,67,73.6,Pass
STU-2340,Male,Associate,75.3,26.4,85,89,85,89,85.5,Pass
STU-2341,Male,Master,72.1,13.6,63,59,64,60,63.9,Pass
STU-2342,Male,Bachelor,67.5,26.7,85,87,88,82,85.5,Pass
STU-2343,Female,High School,93.0,21.6,82,81,86,86,82.2,Pass
STU-2344,Female,Bachelor,62.8,15.5,55,53,53,56,55.5,Pass
STU-2345,Male,Doctorate,67.3,18.1,50,57,48,46,50.5,Pass
STU-2346,Female,High School,80.0,20.4,78,75,83,84,78.1,Pass
STU-2347,Male,Bachelor,100.0,23.7,79,80,72,81,79.4,Pass
STU-2348,Male,Doctorate,83.8,27.6,74,77,75,66,74.9,Pass
STU-2349,Female,Associate,85.0,12.5,51,44,54,50,51.3,Pass
STU-2350,Female,Master,74.7,18.7,62,67,61,62,62.5,Pass
STU-2351,Female,Doctorate,79.0,26.2,82,78,90,85,82.3,Pass
STU-2352,Female,High School,75.9,10.0,42,49,47,45,42.7,Fail
STU-2353,Male,High School,70.3,31.2,76,83,75,77,76.0,Pass
STU-2354,Female,Master,74.2,6.5,49,42,56,50,49.4,Fail
STU-2355,Male,Bachelor,79.1,18.9,69,70,75,62,69.0,Pass
STU-2356,Male,Master,78.0,24.0,78,77,77,75,78.2,Pass
STU-2357,Male,Bachelor,100.0,25.5,80,83,85,72,80.9,Pass
STU-2358,Female,Doctorate,59.4,26.3,70,78,69,64,70.2,Fail
STU-2359,Female,Associate,78.9,27.1,95,96,99,90,95.7,Pass
STU-2360,Male,High School,98.7,13.4,84,77,93,94,84.3,Pass
STU-2361,Female,Associate,79.9,13.1,46,58,54,41,46.8,Fail
STU-2362,Male,Master,65.4,14.7,52,51,59,53,52.6,Pass
STU-2363,Male,High School,88.4,24.4,81,87,86,79,81.5,Pass
STU-2364,Male,High School,87.2,15.7,60,54,72,59,60.4,Pass
STU-2365,Female,Doctorate,97.0,11.1,47,40,49,52,47.8,Fail
STU-2366,Female,Master,54.9,17.0,68,72,73,73,68.7,Fail
STU-2367,Female,Associate,78.5,12.7,67,71,64,66,67.2,Pass
STU-2368,Male,High School,71.8,15.6,55,57,55,63,55.0,Pass
STU-2369,Male,Master,77.1,13.2,69,64,73,72,69.9,Pass
STU-2370,Female,Doctorate,89.1,12.9,75,79,75,70,75.0,Pass
STU-2371,Male,Doctorate,96.4,14.7,73,73,71,66,73.2,Pass
